"","text","created_at","user_location"
"12453","  trump administration covid19 task force even   written plan  distribute  vaccine seriously",2021-01-15,"Florida, USA"
"12472"," roll    vaccine  la    disaster    need   get stressed  first ventura co takes appts  seniors  cancel  nexttakes appts amp cancels websites crashed everyone madly texting    updates frustrating mess",2021-01-15,"UCLA Semel Institute"
"12477","now gillette stadium  massachusetts first largescale covid19 vaccination site    operated  cic health today   soft launch   site officially opens monday",2021-01-15,"Providence, RI"
"12479","  reason  need    hottest person   covid19 vaccination site",2021-01-15,""
"12556"," recieved  first shot   covid19 vaccine today modernasecond shot  two weeks feeling good thank    scientists nurses doctors  frontlineworkers 

now time  writing wandavisionanime  videogames",2021-01-15,"Long Branch, NJ"
"12557"," reason  norways health officials arent alarmed  killing  elderly   covid19 vaccine
   kill   vaccine dont count   cv19 death statistics
clever
",2021-01-15,"Poulsbo, WA, USA"
"12580","breaking butte health dept announces civic center   first covid19 vaccine clinic  phase 1b mtnews",2021-01-15,"Butte, MT"
"12583","new  number  covid19 vaccine assistanceforis now 5202220119 share tucson",2021-01-15,"Tucson, AZ"
"12589","help prioritize covid19 vaccination  people  type 1  type 2 diabetesjdrf wearenotwaiting beyondtypeone",2021-01-15,"Phoenix, AZ"
"12619","across ohio local health depaments announced     rolling  phase 1b   covid19 vaccine distribution   speak  health commissioner jeff cooper  better understand  process  hear   couple  residents

",2021-01-15,"Ohio"
"12635","   priorities righti mean covid  killing  jumbo jet full   states residents every day  senior citizens  sleeping  sidewalks trying  get limited shots  vaccine  heyparleramericasworstgovernor",2021-01-15,"United states"
"12651"," received  first dose  thecovid19 vaccination today  work   senior living facility",2021-01-15,"Pittsburgher in Florida"
"12665","biden plans fewer rules  shots  revised vaccination drive
covid19 
covidvaccine
",2021-01-15,"United States"
"12679","dodger stadium mass coronavirus vaccination site now open",2021-01-15,"Corona,CA,USA"
"12688","remember  killing  elderly   vaccine    covid19 death     count  norways impressive cv19 death statistics
dishonest  cruel  typical   age",2021-01-15,"Poulsbo, WA, USA"
"12703","coming   
expanding senior citizen access   covid19 vaccine  dekalbcounty
 
 
",2021-01-15,"Atlanta, Ga."
"12705"," just got  covid19 vaccine todayparkland hospital",2021-01-15,"Irving, TX"
"12736","please tell   make teachers safe
  go back  full inperson classes next week 
 sooner teachers  vaccinated  safer  ",2021-01-15,""
"12750","  able  get  first covid19 vaccine shot  morning grateful    able  get   protect  family   patients",2021-01-15,""
"12779","got  first vaccine yesterday thank youand 

covidvaccine covid19 thankyoudollypaon
gotvaccinated
lookslikewemadeit
wearamask 
socialdistancing 
fargo
nohdakota",2021-01-15,"Fargo, ND"
"12788"," one   get first covid19 vaccine  x 3080",2021-01-16,"San Francisco, CA"
"12793","23 die  norway  receiving pfizer covid19 vaccine officialsvia",2021-01-16,"Plum Pa"
"12814","  today 391000 americans  dead due  covid19  4000 people dying  day  130000 people  hospitalized  economy    recession    national vaccination program amp trump  meeting   pillow guy trump wants  title   job",2021-01-16,"Michigan"
"12827","covid19 vaccination   us fromflipboard10fooday via",2021-01-16,"San Tan Valley, Arizona"
"12828"," vaccine viual town hall lacdph   held  tuesday january 19  600730 pm  town hall  answer  questions   covid19 vaccine phasestiersinthistogetherla",2021-01-16,"Los Angeles"
"12831","first thing biden    fire     mismanagement  appoint  special prosecutor  investigate  entire warp speed operation 

despite trump administration promise  appear     reserve 2nd vaccine doses  release

",2021-01-16,""
"12859","los angeles county announces   forum  serve   largescale covid19 vaccination site staing tuesday january 19   continue  serve   covid19 testing site",2021-01-16,"Los Angeles, CA"
"12883","23 die  norway  receiving pfizer covid19 vaccine officials",2021-01-16,"BROOKLYN"
"12890","23 die  norway  receiving pfizer covid19 vaccine officials",2021-01-16,"somewhere in the world"
"12947","   new song goes viral     get vaccinated     dont get  ear infection
covid19",2021-01-16,"Columbus Cincinnati Cleveland"
"12972","dont   dick dont jump  line just   want  vaccine youre   smoker stop cheating  lying people like  arent supposed  prosper covid19 covidvaccine",2021-01-16,"Philadelphia, PA"
"12983","immunization   key publichealth strategy  overcoming  sarscov2 pandemic
 took  firstdose   moderna covid19 vaccine   fatherinlaw 65yo essentialworker took  
consider  
vaccinationworks vaccinessavelivess spreadknowledgenotfear",2021-01-16,"New York, NY"
"12992","join pbc amp community paners thurs jan 21 79pm  viual covid19 vaccine town hall broadcast live  facebook amp twitteryoutube  pbcgov20  live streamed  website ",2021-01-16,""
"13002"," day afterofficials expressed frustration   slow rollout  coronavirus vaccines  teachers kansas city public schoolsannounced  employees   able  get vaccinated next month",2021-01-16,"Springfield, MO"
"13004","january 16th amp 17thparklandhospital  host awalk  weekend  providecovid19 vaccine  seniors age 65 amp olderno appointment requiredcall 214 5902201  hear  number  remaining doses  day  help plan  visit",2021-01-16,""
"13012","   disgrace  amoral  knew  august  vaccine    way disgusting",2021-01-16,"Atlanta, Ga. USA "
"13026","board memberour jewish sister dinah got  vaccine  disneyland  said    well organizedfaith communities can talk  friends amp family  get covid19 vaccine interfaith",2021-01-16,"Washington, DC"
"13061"," anyone   doubt whatsoever    came   logistics  distribution   vaccine   trump admin  make  disaster  ",2021-01-16,"Oregon, USA"
"13068","continuation    mandated counselor   nyc depament  education  needs   groups  individuals mandated  well  become  contact  parents   community  need  covid19 vaccine need help",2021-01-16,""
"13087","prisoners   last  line     reward  life    fuckupnot surprised based   runs  state illinois inmates   pa  next covid19 vaccine phase",2021-01-16,"Illinois"
"13090","can  bosses just fire 

 want  vaccine  cant get    idiot assholes  refusing  vaccine

 makes   mad",2021-01-16,"Huntington Beach, CA"
"13112","23 die  norway  receiving pfizer covid19 vaccine officialsvia",2021-01-16,"St Louis, Mo"
"13138"," feel lucky   oppounity  get vaccinated  coronavirus  morning  charlestoni  73 eyewitnesswv",2021-01-16,"Charleston, West Virginia"
"13146"," folks  smoke  never get  vaccine  first responders firefighters nurses  doctors essential workers postal workersetc smokers ",2021-01-16,""
"13193"," numbers speak      latest numbers   many residents  booked appointments  receive  covid19 vaccine  ward   unacceptable",2021-01-16,"Washington, D.C."
"13197","       vaccination card  buy  sell really bothersome",2021-01-16,""
"13208","teamheaded tofor  bullhead city covid19 vaccine blitz covid20 covidvaccines",2021-01-16,"Tempe, Arizona"
"13227"," fullblood native americans     near  front   vaccination line still wouldnt make   centuries  attempted annihilation",2021-01-16,""
"13237"," grandparents  scheduled  sta  covid19 vaccine series really brings  peace knowing     better protected",2021-01-16,"Champaign, IL"
"13275","ohodox rabbi warns covid19 vaccine  make  gay",2021-01-16,"New York, NY"
"13298","ok  think everyone  get  vaccine now",2021-01-16,"NYC/LA"
"13299","city council candidatesubtly mixing covid19 vaccine info  campaign literature  donation ask oega  running  theseat  vacated ",2021-01-16,"Manhattan, New York"
"13322"," aicle   covid vaccine covid19 covid health wellness 
",2021-01-16,"Los Angeles, CA"
"13331","  praying   biden administration plan  work  getting vaccines  arms asap   waiting   phase 1c  arizona  hottest covid19 spot   country  open  vaccinations  also need  oxford  jampj vaccine  roll  beginning  february",2021-01-16,"Mesa, AZ"
"13339","  eligible   covid19 vaccine within phase 2

  joco wants  hear   take  survey   help  plan  vaccine distribution

stay uptodate  covid19 info  joco  signing    daily enewsletter ",2021-01-16,"Olathe, Kansas"
"13341","holy fuck   facing uncontrolled spread  covid19   facilitating new mutations   virus one   mutations  already showing signs    become vaccine resistant

 must lockdown provide universal monthly aid  ramp  vaccines",2021-01-16,"New York"
"13362","thank youandfor adding additional sites  help get  residents vaccinated",2021-01-16,"Henderson, NV"
"13365","thanks   interviewi  love  give  feedback   things  really going   front lines  need large vaccination centers  staggering   5 years age groups  week  cumbersome  makes  medical sense",2021-01-16,"Cincinnati, OH"
"13376","  sight mass vaccination program underway   home   houston",2021-01-16,"Houston, TX"
"13378","23 die  norway  receiving pfizer covid19 vaccine officialsvia",2021-01-16,"Phila,PA  Tampa,FL  Boulder,CO"
"13397","interesting  aicle explains   covid19 vaccine differs  traditional vaccines go mrna  ribosomes thanks  sharing 

   new covid19 vaccines work",2021-01-16,"ÜT: 33.291449,-111.832406"
"13412","another great reason  get vaccinated",2021-01-16,"Eagle Rock / Pomona, CA"
"13430","times  india 23 die  norway  receiving pfizer covid19 vaccine 13  nursing home patients


via",2021-01-16,""
"13440","   get  vaccine   cancel  like pemdas",2021-01-16,"Tempe, AZ"
"13477"," food chain hinges   farmworkers    ravaged  covid19  yethave sustained us throughout  pandemic   joining  colleagues  askingfor  executive order authorizing  pilot project  implement  vaccine strategy   farmworkers",2021-01-16,"Salinas, CA"
"13479","nbr 5  5
according  vaccines expe david dieme md  george washington university    known   covid19 vaccines  prevent  sarscov2 virus  entering  body  leaving  vaccinated body",2021-01-16,"Marin County CA"
"13483","   appointment   covid19 vaccine  midfebruary   follow   march",2021-01-16,"nowhere"
"13492","ron desantis  allowing nonflorida residents amp foreign national visitors  get  covid19 vaccine  floridas teachers

  complete bullshit",2021-01-16,""
"13531"," covid19 vaccine distribution center  minute maid   appointment  st",2021-01-16,"Houston, TX"
"13544"," random ass town   backcountry  alaska gonna  fully vaccinated   lot   major cities",2021-01-17,"Asheville, Boone, Charlotte "
"13554"," excited  see  vaccine roll ",2021-01-17,"Boise, Idaho"
"13563","lets get vaccinated tn first  many steps   road  recovery",2021-01-17,"South Carolina 🇺🇸"
"13593","last year   wondered  anybody  wanted  covid19 test   able  get one kroger made   reality kroger  stepped    regional drivethrough vaccination sites beginning  first week  february kroger
",2021-01-17,"Kentucky, USA"
"13635","despite trump administration promise government    reserve 2nd vaccine doses

",2021-01-17,"Ft Worth, TX"
"13640","andy beshear state officials  kroger leadership announced  new panership  significantly increase  speed  covid19 vaccinations across  commonwealth

 first kroger regional drivethrough vaccination sites  open  week  feb 1  kentuckians  phase",2021-01-17,"Kentucky, USA"
"13643","good details   massachusetts folks seeking details  vaccine timeline",2021-01-17,"Boston, MA"
"13664","zocdoc provides covid19 vaccine schedul  new yorks mount sinaibusiness insider",2021-01-17,"Manhattan, NY"
"13725"," thought  state     65   sitenow says  others  educationfoodagriculture  emergency services    idea  san diego  follow suitseems like    regular appts   vaccine sites lately",2021-01-17,""
"13732","
use nursing students amp amazon nurses   covid19 vaccine amp covid 19 testing sites   county   county",2021-01-17,"Gardena, Ca"
"13771","progress repoed  onedose jampj vaccine covid19 reinfections seen  rare",2021-01-17,"Dallas, Texas"
"13777"," happens  youre one   people   coronavirus vaccine messes      plan im  sure  ill ",2021-01-17,"Ohio USA"
"13778"," happens   get  covid19 vaccine  uses mrna",2021-01-17,"W. Bloomfield Schools MI"
"13791","states look   covid19 vaccine doses   nations death toll nears 400000

",2021-01-17,"Brookeville, MD"
"13802","vanishing vaccine appointments covidvaccine covid19link  story  comment",2021-01-17,"New York City"
"13867"," hope  love   better tomorrow moderna covid19 vaccine covid19vacccine gotit nycbushwick campus high school",2021-01-17,"BROOKLYN"
"13882","  great idea   get  covid19 vaccination   veterinarian  dentists office    hawaii",2021-01-17,"Hawaii, Lahaina"
"13884","  vaccine venue ready  handle  meteor strike yeti attack spontaneous poal   void",2021-01-17,"THE AMERICAN PLAGUESCAPE"
"13893","first full week working   vaccination clinic ready  go vaccine vaccination clinic covid19 santaclaracounty stopthespread instagaysanta clara county fairgrounds",2021-01-17,"San Jose, CA"
"13896"," cc ever say  dt failed regardingmaking sure   covid19 vaccine  distributed  way   needed   thisweek covid19 covidvaccine impeachtrump",2021-01-17,"Adelanto, CA"
"13961","join us  1 pm pst 4 pm est today   webinar   covid19 vaccine presented  dr kubi
kubimedical kubiweightloss weightlossjourney",2021-01-17,"Westwood, Los Angeles"
"13976","looks like  rough math   week  two ago  correctla county  hit like 6075 infected   time   mass distribution   vaccine  third world response grim",2021-01-17,"Azusa, CA"
"13981"," alcohol ok  covid19 vaccine    vaccinealot   wed 5 pm  free webinarkanodia md",2021-01-17,"Columbus, OH"
"14034"," coronavirus vaccine  11 months  tragedy  fear im finally able  shed tears  joyvogue",2021-01-17,"Bensalem PA near Philadelphia"
"14054","23 die  norway  receiving pfizer covid19 vaccine officialsviacoronavirus vaccine pfizercovidvaccine pfizer",2021-01-17,"California Bear"
"14058"," highly concerns   unfounately  vaccinated 9 days  contracting  virus    healthcare worker  study needs  shared far  wide covid19 pandemic vaccinessavelives vaccine",2021-01-17,"He/Him"
"14061","pls
  like  highlight research  shows    half   covid19 cases  spread  infected people without  symptoms please continue  wear  mask wash  hands watch  distance     turn get vaccinated",2021-01-17,"SAN DIEGO"
"14066"," wife   got  second dose  covid19 vaccine yesterday    honest  side effects    pleasant fever muscle pain  diarrhea pfizercovidvaccine keepgoing",2021-01-17,"Indianapolis, IN"
"14118"," ups deliver  covid19 vaccine shipments  mission still sees slowdowns",2021-01-18,"Indianapolis, Indiana"
"14138","volunteer  unlv covid19 vaccine pod volunteersvolunteerlasvegas",2021-01-18,""
"14139","robe   please fact check  new covid19 vaccineare true news outlets can    point guy   new vaccine thanks",2021-01-18,"Puerto Rico"
"14140","us presidentelect joe biden receives covid19 vaccine live  televisionthe hindu

 looking similar   chowkidaar  get sympathy  fools  unfounately  also thought   take risk",2021-01-18,"San Jose, CA"
"14141"," just want  covid19 vaccine ive tried 5 times  nj   get registered     big health problems  least 4   list im frustrated    make  much easier please  thanks",2021-01-18,""
"14142","great job president trump  getting  vaccine within  year   one said    great job great leader",2021-01-18,""
"14160"," told   lie
whats   fear mongering americans cant even go  public  private school without  vaccinated people  literally dying  covid  youre saying  body  choice  isnt aboion   vaccine  save  life covid19 biden",2021-01-18,"Florida, USA"
"14180","trustiunderstand vaccinated   right  way   news media  expes claim lol",2021-01-18,"In a Eardrum near you!!! NY"
"14185","covid19 vaccination information please help  seniors get vaccinated",2021-01-18,"United States"
"14192","covid19 vaccine  man dies  day  taking covishield shot suffered breathlessness  chest pain

",2021-01-18,"New York, USA"
"14209","  release covid19 vaccination appointmentsat 9am

appointments   available  residents 65 years  age  older  well  medical professionals

also    schedule  free public testing   health provider cant provide  test",2021-01-18,"Washington DC"
"14210","  received dozens  questions  residents especially  seniors   ongoing covid19 vaccine effos  friday dr lewis kohl  caremount provided  great insight  advice   residents",2021-01-18,""
"14240"," just two days america    track  put middle class families first put science  innovation   forefront   execute   vaccine strategy  covid19 inauguration2021 inaugurationday",2021-01-18,"Washington, DC"
"14285","icymi pima county residents 65  older  make  80  covid19 related deaths  struggling  navigate  chaotic rollout  vaccine distribution",2021-01-18,"Tucson, AZ"
"14309","drmarcella nunezsmith joins us  conversation withto discuss covid19  vaccine   black community mlk nanmlkday21 nanmlkawards21",2021-01-18,"New York and Regional Offices"
"14327","science doesnt     answers give  time   ones    useful 

3 questions   emerging answers  covid19 vaccine protection",2021-01-18,"Athens, GA"
"14347","   compassion   coronavirus now     vaccine maybe  time  meet  virus halfway let bygones  bygones",2021-01-18,"Connecticut, USA"
"14357"," covid19 testing  vaccination site   closed   holiday    open 7 days  weeks 24 hours  day get  together covid covidtesting losangeles",2021-01-18,"Los Angeles, CA"
"14361","  travel  another state  get  covid19 vaccine  voted   kgo whats  voteno  agree withespecially  hawaii  visitors take vaccines  locals",2021-01-18,""
"14362","  one step closer officially   covid19 vaccine waiting list",2021-01-18,"Nashville, TN"
"14380","  vaccines  approved  close  approval around  world     covid19 vaccine preference  

pfizer astrazeneca moderna coronavirus covid19 covidvaccine health medicine science research",2021-01-18,"Boston, MA, USA"
"14396","concerned  curious   covid vaccine please see ",2021-01-18,"New York City"
"14407","  looking   list  whats   covid19 vaccine stuff like sucrose sugarsodium acetatesaltpolyethylene glycolstool softener  dont think  stuff can hu   definitely cant give  covid",2021-01-18,"La Mesa, California, U.S.A."
"14417","underselling  vaccineof  32000 people  received  moderna  pfizer vaccine   research trial   want  guess  many contracted  severe covid case one",2021-01-18,"Canyon, TX"
"14420","wake co tells   plan  open  second covid19 vaccination site next monday  accommodate even  people   contingent  supply abc11",2021-01-18,"Raleigh, NC"
"14449"," vaccine distribution tracking site  california  inspired  inspire  colorado",2021-01-18,"Boulder, Colorado"
"14478","  people across  region getting vaccinated  covid19 health expes caution  rushing  visit  elderly loved ones",2021-01-18,"Johnson City, TN"
"14512","  pay  reserve  covid19 vaccine appointmentsayfie viais",2021-01-19,""
"14554","cbs news  chief   right  younger adults  rich countries get vaccine  older people  poorer countries


via",2021-01-19,"Hollywood, FL"
"14562","new york governor asks pfizer  directly sell covid19 vaccine doses",2021-01-19,"Austin, TX"
"14569","  extremely passionate  preventing fuher spread  covid19 educating others amp modeling safe health behaviors  equally impoant roles   nurse  addition  vaccine administration  case anystudents  like  join   help  needed",2021-01-19,"Baltimore, MD"
"14578","  novavax covid19 vaccine trial shot    hang   30 minutes take  temp  fill  2 surveys via  app",2021-01-19,"San Diego, CA"
"14589"," chief rips covid vaccine inequalities   right",2021-01-19,"Oregon, USA"
"14626","today  launched theampcovid vaccine prereg sitean amazing effo   tech comms ops amp clinical teams  just 72hhuge response   stl community   first 12h   live  make sure  sign  today

",2021-01-19,"St Louis, MO"
"14636","met   fayetteville schools superintendent dr john l colbe   got  covid19 vaccine today  nwa",2021-01-19,"Pensacola, FL"
"14638","phasefinder tool  new features  determine  covid19 vaccine eligibility  washington",2021-01-19,""
"14668"," charles barkley say  nfl  nba players  get  covid19 vaccine first   make  lot  money",2021-01-19,"Staying 6 feet away"
"14678","  45000 floridians  got  first covid19 vaccine shot  overdue   second shot fl health
 
",2021-01-19,"West Palm Beach, FL"
"14707","got   apa  history today thanks  work today  helped  city  modesto   administering   covid vaccine  keeping traffic flowing  helping people stay enthusiastic also got  oppounity  take  vaccine today covid19 vaccination history",2021-01-19,"Gustine, CA"
"14729","fauci now says covid19 vaccine may become mandatory",2021-01-19,"Gilroy, CA"
"14784","ur medicine launches covid19 vaccination centers  patients today",2021-01-19,"Rochester, NY"
"14786","getting  covid19 vaccine   coliseum heres   expectget2it",2021-01-19,"Sacramento, CA"
"14799","georgia teachers  1a get vaccine covid19",2021-01-19,"Atlanta, GA"
"14830","heres  classic  put  baby   

 many rona rugrats    made thx   covid19 vaccine  new summer  love take  condom    real man
",2021-01-19,""
"14844","making  vaccine available india  begin covid19 vaccine supply  several countries beginning tomorrow",2021-01-19,"New York"
"14845","got  first covid19 vaccine yesterday  left arm   little sore",2021-01-19,"United States"
"14888","new covid19 vaccination site set   southern ocean county today stay tuned tofor  informationsouthern regional middle school",2021-01-19,"Toms River, NJ"
"14911","nurses  franklin park senior living  lined    second round   pfizer covid19 vaccine dozens  workers  residents  getting  vaccination today",2021-01-19,"San Antonio, TX"
"14917"," 67 publix stores throughout palm beach county begin offering covid19 vaccine  week 
registration begins jan 20  6  shots   administered staing jan 21 
registration online 

appointments   made  calling stores",2021-01-19,"West Palm Beach, FL"
"14941"," relief  getting text  mom   just got  first covid19 vaccine dose onward",2021-01-19,"Washington "
"14949","pick    just helped  grandparents make vaccination appointments    multiple points  failure   websites  phone numbers  grandmother  still waiting   call back  4 days ago",2021-01-19,"Tucson, AZ"
"14961","trying  register   covid19 vaccine  spots availablei  giving   clicked  every day  april 13    laptop quitpeoria arizona",2021-01-19,"Arizona"
"14977","pa expands vaccine  residents 65  older    highrisk conditions",2021-01-19,""
"14990","cars staing  lineup outside  magic mountain  receive  covid19 vaccine  los angeles county launches  five vaccination sites today",2021-01-19,"Monrovia,CA"
"15008","  time healthcare workers employees  residents  longterm care facilities  people ages 65   qualify   vaccine

get vaccinated",2021-01-19,"Richmond, California"
"15052","excuse   moneybill de blasio says nyc  run   covid19 vaccine  friday

",2021-01-19,""
"15054","brooooo wtf    
snoopdogg vaccine corona coronavirus covid19 covid funny dead nochill weak f4follownew york new york",2021-01-19,"Brooklyn, NY"
"15059","  cancer five years ago    aggressive kind  cancer  even now im still  young   able  recieve  covid19 vaccine im 62 years old  also  high blood pressure  im  borderline diabetic",2021-01-19,"Madison Heights, MI"
"15072","well todayreceived  first covid19 vaccine  happy
covid19 vaccine timjenn",2021-01-19,"Beverly Hills, CA"
"15093"," covid19 vaccine  currently available   following individuals
healthcare  behavioral health workers
ems  first responders
residents ages 70  older

 schedule  appointment click 


 may also call 8013997777  assistance",2021-01-19,""
"15105","public healthdayton amp montgomery county commissioner jeff cooper recently spoke  dayton ombudsman diane welborn providingdetailed answers  common questions  covid19 vaccine rollout  montgomery county  can watch  interview ",2021-01-19,"Dayton, OH"
"15120","  learning     better shot  winning  powerball jackpot  getting  covid19 vaccine  rivco",2021-01-19,"Southern California"
"15121","another vaccination sticker  rochester ny",2021-01-19,"Brooklyn, NY"
"15126","  prized possession oh just  covid19 vaccination record card",2021-01-19,"Tucson, Arizona"
"15146"," hope  dont end    coronavirus  season  hope   stay healthy throughout 2021 best  luck  daytona next month dont forget  get  covid 19 vaccine   can    getting mine asap",2021-01-19,"Louisville KY"
"15148","covid19 vaccination finder  gtgtgtgtgt new york city ltltltltlt",2021-01-19,"East Harlem, New York"
"15164","apcovid19 vaccine available   70    montana",2021-01-19,"Bozeman, Montana"
"15186","covid vaccination series complete
covid19 covidvacccine ihspharmacy frontline healthcareworkerssalem oregon",2021-01-19,"Salem, OR"
"15194","la county sign  grandparents 65    vaccine ",2021-01-19,"ucla"
"15200","cottage hospital  allowing santa barbara residents age 75  sign    information   drivethrough vaccination clinic",2021-01-19,"Santa Barbara, CA"
"15204","countless people  know  watching  loved ones get knocked   covid19  ages  different lifestyles healthy  unhealthy 

get  vaccine 
stop gathering  large groups 
wear  mask

  still   middle   global health pandemic",2021-01-19,"Buechel, KY"
"15281","okay hear      movie plot    get  covid vaccine    children born  ppl  got  vaccine   kind  super human condition hah covidvaccine covid19 vaccine moderna pfizer mrna",2021-01-19,"Tucson, AZ"
"15290","  announcement  teachers  soon  able  get  covid19 vaccine   data  show  percentage  ohios elderly population  gotten  vaccine",2021-01-19,"Central Ohio"
"15295","covid19 vaccine appointment reminders

questions call  hotline  4232098383",2021-01-19,"921 E. 3rd St. Chattanooga, TN"
"15340","please give georgians  intellectualdisabilities amp developmentaldisabilities access  covid19 vaccines now amp  caregivers people  preexisting conditions  dying amp  get  vaccine  ga fixtheplan protectthevulnerable",2021-01-20,"Atlanta, GA"
"15347","sometimes  got  laugh  fukin moron  killing folks    clue   really happening   groundi doubt    number  folks vaccinated just like trump nothing  false shit daily",2021-01-20,"Logan  West Virginia, USA"
"15354","dj alex reyes djalexreyes  launched  special page   latest updates  covid19 amp vaccine info  collaboration 

visitfor  info  company wants   honestopen amp transparent",2021-01-20,"Fremont, CA"
"15386","   hospitals   bursting   seams  cv patients supposed  speed   vaccination programs  pa   playing assessing planning implementing  evaluating  lofty perch  sit   cold  time  year",2021-01-20,"United States"
"15417","state bringing needed popup covid19 vaccine clinic  south bendlocal",2021-01-20,"South Bend, IN"
"15489","  2021 vaccine covid19",2021-01-20,"LA"
"15493"," impoant viewpoint regarding vaccine distribution  administration covid19",2021-01-20,"Tampa, FL "
"15505","pleasecan  make  right    doubt  thepersonnel  working  hardest  im sure    fluid situation  can  help  veteran outis  possible    get  vaccine   va clinic covid19",2021-01-20,"Southeast Tennessee "
"15533","new details   released  phase 1b   vaccine distribution  iowa additional information  available ",2021-01-20,"West Des Moines, IA"
"15640","id like  go tothis year wouldnt 

wear  mask avoid close contact paicularly indoors get vaccinated  can   pay people",2021-01-20,"San Francisco, CA"
"15644","geek medical post   month yes trump  lying   much vaccine   made   ahole",2021-01-20,"silicon valley, CA"
"15691"," remember  tuskegee study  coronavirus vaccine   thank   much  dont burn  twice    fire",2021-01-20,""
"15708","georgians fear debacle  2nd vaccine shots come due",2021-01-20,"McDonough, GA"
"15709","teachers  staff   springdale school district  begin  receive  covid19 vaccine today

 school district plans  give  1300 doses   vaccine   next two days",2021-01-20,"Northwest Arkansas"
"15727","ll available covid19 vaccine appointments  publix pharmacy   claimed staing friday january 22  600  est eligible customers can access appointment availability beginning saturday january 23",2021-01-20,"Fort Myers, FL"
"15760","seeingin grandpa suspenders getting  covid19 vaccine   kind  comfo  need today",2021-01-20,""
"15765","  inaugurationday  doesthink    new administration  handle  covid19 pandemic  vaccine rolloutand  talkwith  live  754 ",2021-01-20,"Denver, Co."
"15790","yes  got  vaccine thank youcovid19 covidvaccine trumpslastday",2021-01-20,"Birmingham, AL"
"15802","happy day  got  15minute test  covid19 antibodies today two weeks   second vaccine shot  never  covid feeling grateful",2021-01-20,"Franklin, TN"
"15810","  bike  get  first covid19 vaccination dose scheduled   minutes  presidentand vice presidentare officially sworn    happy  historic day",2021-01-20,"St. Louis, MO"
"15811","  way  get  vaccination  covid19",2021-01-20,""
"15835","woman gets covid19 vaccine  virus doctors say  impossible  get   vaccination  offer  possibilities",2021-01-20,"Grifton, NC"
"15870","hey      getting  covid vaccine  pakistanpakistan covid19 vaccine",2021-01-20,"Texas, USA"
"15875","  promising  pfizer covid19 vaccine looks   efficient  fighting  new strain
higotvaccinated vaccinessavelives
vaccinetruth
",2021-01-20,"Honolulu, HI, US"
"15889"," tomorrow  parents  grandparents    received  first dose   covid19 vaccine covid19 hope vaccine",2021-01-20,"Kentucky, USA"
"15891","proud   contributed  thispublication debunking feility myths associated   covid19 vaccine kudos   coauthors especiallywho led  effo",2021-01-20,"Silver Spring, MD"
"15893","honored   received  2nd dose   covid19 vaccine  one   advisees   past 35 years   impressed   efficiency   vaccine clinic beststudents",2021-01-20,"Maryland, USA"
"15896","  state depament  health quiz  see  im eligible   covid vaccine  big surprise  find    amappears  getting approval   easy pa ive now contacted five clinics trying  get  appointmentwith zero luck 

covid19",2021-01-20,"Yelm, WA"
"15903","sarasota countys new covid19 vaccine appointment registration system launched today

 new system  assign appointments   first come first served basis  unlike  previous system  allows people  sign  via telephone  well  online",2021-01-20,"Fort Myers, Florida"
"15908","just received  first dose   moderna covid19 vaccineglad  know   end   terrible virus  finally  sight vaccinated",2021-01-20,"Jessup, PA"
"15917","  slow distribution   covid19 vaccine   united states

watch video   answer 

ethnicmediasvc covid19vaccines

",2021-01-20,"San Francisco"
"15928"," public rollout   covid19 vaccine began tuesday    ohio state university offering inoculations  

 first person  receive  vaccine  100yearold helen formet  celebrated   dose  administered

w",2021-01-20,"Columbus, Ohio"
"15959","states call   covid19 vaccine doses  us death toll moves past 400000

",2021-01-20,"Dallas, TX"
"15960","13    limited supply  covid19 vaccine  oppounities  vaccination   coming   state receives  vaccine    need  contact  provider   time   let patients know   can sta making appointments  covid19 vaccine",2021-01-20,"St. Paul, Minnesota"
"15968","   sure ifcould make  dent  improving covid19 vaccine distribution maybe  need  ask schneidernational  jbhunt first",2021-01-20,"Sacramento, CA"
"15976"," think president biden  bring  chickfila team members   table  help  covid19 vaccine distribution  drivethru vaccination clinics every citizen   vaccinated  less   month mypleasure chickfilarocks",2021-01-20,"Bull City, 919 via K-Town, 252"
"15989","

whats   big talk  vaccine numbers coming  knowing   continue    lie  coronavirus numbers 

 even  epicfailure",2021-01-20,"Mountain View, CA"
"15998"," first people  got  first doses   vaccine last month  now getting  second",2021-01-20,"Nashville, TN"
"16080","updated vaccination list
interested  obtaining  covid19 vaccine
1 visit 
 see   currently qualify 
2 click  map find  provider  view  list 
thanks   patience   work  increase vaccination oppounities   future",2021-01-21,"Kern County"
"16083","dallas county leaders rescind zip code vaccine plan  state threatens  cut dose allocation",2021-01-21,"Dallas, Texas"
"16108"," first official day  unm health covid19 vaccinations   pit workers  expecting   vaccinated 1700 people today  pit  now  first mass vaccination site  state 
 
 
unm newmexico covid19 albuquerque",2021-01-21,"Denver, CO"
"16118"," impoant  people  post feeling great   side effectsafter getting vaccinated  timeline  full  people    little bla     posts  people    problem   statistically  backwards",2021-01-21,"Columbus, GA"
"16178","andy    thoughts   israeli findings   single dose  thevaccine   33 effectivehcldr business insider israel covid19 boss single vaccine dose less effective  hopedbusiness insider
",2021-01-21,"Philadelphia, PA"
